"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","minuslog10padj","regulation","inPublication"
"3174","Duxbl1",223.540769805691,-1.41291151311054,0.432890498171209,-3.26390049927067,0.00109889750235844,0.00882736322931101,"p adj. < 0.05",2.05416900264798,"gene downregulated",TRUE
"3175","Dvl1",1368.42660057325,0.0137430286214068,0.0731982133347558,0.18775087526462,0.851071946675406,0.922399501879403,"p adj. >= 0.05",0.0350809402440218,"not significant",FALSE
"3176","Dvl2",481.933029066129,-0.306914603417157,0.0777207759738579,-3.94893900081994,7.84983499117245e-05,0.00109316835278759,"p adj. < 0.05",2.96131294961811,"not significant",FALSE
"3177","Dvl3",2075.21413423478,-0.203633253618596,0.0543644052725865,-3.74570921170876,0.000179884862414851,0.00213303616332425,"p adj. < 0.05",2.6710017814943,"not significant",FALSE
"3178","Dxo",250.229698593494,-0.31847511725107,0.116672051159098,-2.72966073782989,0.00633995334076515,0.0344388033284596,"p adj. < 0.05",1.46295194772001,"not significant",FALSE
"3179","Dym",462.100731164438,-0.0889192553347486,0.0881689157317384,-1.008510250997,0.313209569030349,0.528325590576929,"p adj. >= 0.05",0.277098352823976,"not significant",FALSE
"3180","Dync1h1",16112.4290416304,0.0161648558870158,0.0520820873102224,0.310372658275604,0.756277583735613,0.870621201903118,"p adj. >= 0.05",0.0601707608434364,"not significant",FALSE
"3181","Dync1i1",1820.79844796688,0.0190659595886049,0.0619077868835788,0.307973528830218,0.758102474937817,0.871477941074452,"p adj. >= 0.05",0.0597436013146155,"not significant",FALSE
"3182","Dync1i2",4348.33486172135,0.0533836470773417,0.0377653052249545,1.41356323639791,0.15749018198727,0.340741609049154,"p adj. >= 0.05",0.467574830103764,"not significant",FALSE
"3183","Dync1li1",1335.15905012163,0.00770003858344328,0.0516653327387182,0.149036852668382,0.881524553465523,0.938675485114866,"p adj. >= 0.05",0.0274845242225258,"not significant",FALSE
"3184","Dync1li2",3888.97366297434,0.0397129124380399,0.0439135681493873,0.904342646512862,0.365813739883581,0.578956055889752,"p adj. >= 0.05",0.237354398982167,"not significant",FALSE
"3185","Dync2h1",764.107810120114,0.333473601794106,0.0655812080794977,5.08489568215743,3.67828179585245e-07,1.22989046646092e-05,"p adj. < 0.05",4.91013356492631,"not significant",FALSE
"3186","Dync2i1",304.447053756895,0.0257856070631508,0.0932419895334683,0.276545011449968,0.782129492863304,0.884975860085989,"p adj. >= 0.05",0.0530685756009694,"not significant",FALSE
"3187","Dync2i2",554.653281063672,-0.0507595395420682,0.090847968878131,-0.558730593197522,0.576345596979463,0.752356014130742,"p adj. >= 0.05",0.123576603045509,"not significant",FALSE
"3188","Dync2li1",181.782934430483,0.0241723490451944,0.120493359736697,0.200611461893136,0.841002394979539,0.916938306005168,"p adj. >= 0.05",0.0376598838096577,"not significant",FALSE
"3189","Dynll1",2221.11170679734,0.20954275743744,0.0551911267861193,3.79667474899499,0.000146649996630279,0.00179885200708315,"p adj. < 0.05",2.74500456492068,"not significant",FALSE
