"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"B230209E15Rik",104.604357836047,0.487923763678319,0.21251384072661,0.000989737840345926,0.00813400268790844
"B3galt1",1009.18890998166,0.252278288397005,0.0621900977320075,7.37658127833644e-06,0.000154990561022016
"B3galt2",710.260437520901,0.300702157536821,0.0817510318100669,2.53899731519267e-05,0.000433835935542778
"B3gat1",7632.41006693822,-0.139158064961124,0.0537822144275594,0.00358415554633282,0.0221367394127466
"B3glct",461.616810033749,-0.172971487391696,0.0800420975223569,0.00715753519409357,0.0378688227497947
"B3gnt5",1152.88504073982,0.172534079731283,0.0605278545490259,0.00115471582751761,0.00914771537410006
"B4galnt1",1187.90254654556,-0.154360355788188,0.0581196562474959,0.0024921638215992,0.0167423590952309
"B4galt3",681.966054630439,-0.251365912972555,0.103909654642255,0.00187858922979474,0.0134576044118085
"Bag6",5624.77392321658,-0.162988968660076,0.0544550596062827,0.000821122698635123,0.00697901318181878
"Banp",832.195286995886,0.308984027440973,0.0683048589288755,6.71873986679445e-07,2.08265127070941e-05
"Barhl2",56.5459307448069,0.339237177173622,0.336632393422187,0.00986406113477816,0.0480758939658038
"BC005537",3229.64139695152,-0.214451920039103,0.0475718469048224,1.31126742192621e-06,3.60639603683839e-05
"BC024063",172.864169292526,0.303302202117021,0.152479418567145,0.0034951593615937,0.0217232248513402
"Bc1",174.842201695545,0.792576725183253,0.173313974470909,2.43128094733502e-07,8.58704965152588e-06
"Bcar1",1136.23657627685,-0.185656099345055,0.0658737056871102,0.00110458737740751,0.00886226194273237
"Bckdk",413.904834848419,-0.279326961942847,0.0841125334887741,0.000104565538392013,0.00136933042025485
"Bcl2l11",214.624427322902,-0.311986470392044,0.158250758298238,0.00342825759233496,0.0214351521221741
"Bcl7a",3226.47184653681,-0.206110807330579,0.0551466519383265,3.81482898913437e-05,0.000605500687986218
"Bclaf1",4148.24640350563,0.172116959376832,0.0411643285886647,8.57107453462071e-06,0.000174252061603539
"Bcr",2786.47439667081,-0.115919634149182,0.0490174740937271,0.00865178643838508,0.0435864759232447
"Bdp1",1095.92188683886,0.241159513504657,0.0660143582709989,4.01895372129506e-05,0.000630305908623109
"Becn1",1025.66802725599,-0.137153741155982,0.0576949530606251,0.00649752436317067,0.0350525741033622
"Bend4",456.472854022269,0.251457590482432,0.0879933390148596,0.000558671845978304,0.00519769978737159
"Bend6",1265.61603651186,0.173155094715645,0.0774624767285925,0.00605781207624322,0.0332939575688061
"Bgn",194.858394435221,-0.356585078469553,0.138346780245482,0.000701046896385158,0.00619422656806041
"Bhlhb9",1417.25450002391,0.187784992524052,0.0569808410601333,0.000233140188969528,0.00258884664436731
"Bicd1",1121.14043979709,0.313531229970336,0.0738871801134435,2.33435774669425e-06,5.89134654309389e-05
"Bicd2",1569.30202824794,0.151900062205675,0.0519175251948921,0.00114832341425922,0.00910777402736359
